order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	ship-service-level	sku	product-name	quantity-purchased	item-price	currency	buyer-email	recipient-name	ship-postal-code	ship-state	ship-city	ship-country
JP31-4744854-3341057	2025-09-12T03:01:00Z	2025-09-13T15:01:00Z	Unshipped	MFN	Amazon Marketplace	Standard	SKU-USB-C-1M	USB-C ケーブル 1m	1	880	JPY	hsahxthv@example.com	佐藤 太郎	530-0001	27	Osaka	JP
JP19-4612365-6647119	2025-09-14T13:21:00Z	2025-09-16T01:21:00Z	Shipped	AFN	Amazon.co.jp	Expedited	SKU-KEYBOARD	ワイヤレスキーボード	2	5960	JPY	jbqe7ckw@example.com	渡辺 さくら	600-0001	26	Kyoto	JP
JP84-4823498-5855124	2025-08-29T22:04:00Z	2025-08-30T04:04:00Z	Pending	MFN	Amazon.co.jp	Expedited	SKU-MICROSD128	microSD 128GB	2	4360	JPY	wnnhj7xv@example.com	田中 一郎	650-0001	28	Kobe	JP
JP48-5528972-4684531	2025-09-15T07:10:00Z	2025-09-17T19:10:00Z	Unshipped	MFN	Amazon.co.jp	Standard	SKU-KEYBOARD	ワイヤレスキーボード	2	5960	JPY	jh75lxo6@example.com	中村 愛	530-0001	27	Osaka	JP
JP68-5408072-8187926	2025-08-31T04:15:00Z	2025-09-03T04:15:00Z	Unshipped	AFN	Amazon Marketplace	Standard	SKU-IPH-CASE	iPhone ケース 透明	2	2560	JPY	r14ffyvn@example.com	加藤 直子	330-0001	11	Saitama	JP
JP87-2921859-5476583	2025-09-08T08:35:00Z	2025-09-08T10:35:00Z	Unshipped	AFN	Amazon.co.jp	Expedited	SKU-MOUSE	ワイヤレスマウス	1	1580	JPY	q85jsg65@example.com	伊藤 次郎	650-0001	28	Kobe	JP
JP97-3710343-9897858	2025-09-11T06:09:00Z	2025-09-13T06:09:00Z	Pending	AFN	Amazon Marketplace	Standard	SKU-USB-C-2M	USB-C ケーブル 2m	1	1080	JPY	53lc58dr@example.com	鈴木 花子	650-0001	28	Kobe	JP
JP70-3770370-5446912	2025-09-16T04:08:00Z	2025-09-18T17:08:00Z	Shipped	AFN	Amazon.co.jp	Prime	SKU-MICROSD64	microSD 64GB	3	4140	JPY	l9xpseim@example.com	加藤 直子	650-0001	28	Kobe	JP
JP09-1987737-4841005	2025-08-30T18:14:00Z	2025-08-30T19:14:00Z	Shipped	MFN	Amazon Marketplace	Standard	SKU-POUCH	ガジェットポーチ	1	980	JPY	krt05uir@example.com	山本 健	460-0001	23	Nagoya	JP
JP45-8106470-7897151	2025-08-26T03:42:00Z	2025-08-28T11:42:00Z	Shipped	MFN	Amazon.co.jp	Standard	SKU-MOUSE	ワイヤレスマウス	3	4740	JPY	m5igqpki@example.com	鈴木 花子	330-0001	11	Saitama	JP
JP83-1247595-2564689	2025-09-17T17:06:00Z	2025-09-18T00:06:00Z	Pending	MFN	Amazon.co.jp	Expedited	SKU-CHARGER	急速充電器 20W	2	3560	JPY	hocn9j2q@example.com	山本 健	650-0001	28	Kobe	JP
JP24-5977931-4652414	2025-09-13T22:31:00Z	2025-09-14T18:31:00Z	Pending	MFN	Amazon Marketplace	Standard	SKU-USB-C-1M	USB-C ケーブル 1m	2	1760	JPY	r7tcs4cc@example.com	高橋 美咲	210-0001	14	Kawasaki	JP
JP79-2375453-8033426	2025-08-26T18:15:00Z	2025-08-27T00:15:00Z	Unshipped	AFN	Amazon Marketplace	Standard	SKU-KEYBOARD	ワイヤレスキーボード	1	2980	JPY	jexq77aw@example.com	加藤 直子	220-0001	14	Yokohama	JP
JP33-3222252-6855396	2025-08-25T17:13:00Z	2025-08-28T10:13:00Z	Unshipped	MFN	Amazon Marketplace	Expedited	SKU-IPH-CASE	iPhone ケース 透明	2	2560	JPY	4zw9xa3k@example.com	鈴木 花子	530-0001	27	Osaka	JP
JP95-3607983-5569244	2025-08-31T03:56:00Z	2025-08-31T17:56:00Z	Shipped	MFN	Amazon Marketplace	Standard	SKU-MICROSD128	microSD 128GB	2	4360	JPY	r64dpja1@example.com	伊藤 次郎	530-0001	27	Osaka	JP
JP71-1162230-2876932	2025-09-15T14:35:00Z	2025-09-17T21:35:00Z	Shipped	MFN	Amazon.co.jp	Expedited	SKU-HUB	USB-C ハブ 5in1	2	6560	JPY	fel6246h@example.com	高橋 美咲	220-0001	14	Yokohama	JP
JP79-3592974-4971793	2025-09-03T17:56:00Z	2025-09-05T22:56:00Z	Unshipped	MFN	Amazon Marketplace	Standard	SKU-IPH-CASE	iPhone ケース 透明	3	3840	JPY	72oy0ifz@example.com	山本 健	100-0001	13	Tokyo	JP
